chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
48,37748736,64.8655,0.0126528,-0.0751964,5.98058,19.9886,1.06262,6313,0,24,8.66226,10.2908,1
49,38535168,66.1782,0.0128843,-0.0637445,9.48232,19.9052,0.676076,6451,0,24,8.66226,10.2908,1
50,39321600,67.5254,0.0131031,-0.0669784,6.50045,19.5996,0.986455,6576,0,24,8.66226,10.2908,1
51,40108032,68.8346,0.0126945,-0.0789192,6.38142,19.6593,0.976886,6696,0,25,8.66226,10.2908,1
52,40894464,70.141,0.0123869,-0.0199769,6.09667,15.7792,1.28957,6834,0,25,8.66226,10.2908,1
53,41680896,71.4469,0.0125552,-0.0380536,7.52745,19.8843,0.876772,6961,0,25,8.66226,10.2908,1
54,42467328,72.7625,0.012449,-0.0365658,9.44652,20.4456,0.786667,7107,0,25,8.66226,10.2908,1
55,43253760,74.0699,0.0124673,-0.0315771,4.24691,13.807,1.2817,7252,0,25,8.66226,10.2908,1
56,44040192,75.376,0.011866,-0.0539284,3.81725,7.76888,1.16656,7367,0,25,8.66226,10.2908,1
57,44826624,76.6824,0.0123966,-0.0387327,4.79524,13.7976,1.37158,7495,0,25,8.66226,10.2908,1
58,45613056,77.9861,0.0120615,-0.064416,5.00228,14.8621,1.17584,7618,0,26,8.66226,10.2908,1
59,46399488,79.291,0.0126592,-0.0470988,8.81975,18.768,0.706508,7745,0,28,8.66226,10.2908,1
60,47185920,80.587,0.0123327,-0.0500304,11.624,20.1602,0.386164,7882,0,28,8.66226,10.2908,1
61,47972352,81.8884,0.0127402,-0.0403508,11.6746,20.9994,0.602635,8011,0,28,8.66226,10.2908,1
62,48758784,83.1862,0.0129135,-0.0529586,11.6758,19.1958,0.476332,8130,0,28,8.66226,10.2908,1
63,49545216,84.4873,0.0124483,-0.0694106,11.7891,18.0833,0.45895,8251,0,29,8.66226,10.2908,1
