chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
49,38535168,68.0727,0.0132587,0.050641,7.17744,41.5236,1.38849,6607,0,21,8.66226,10.2908,1
50,39321600,69.4237,0.0135758,0.0597745,6.61131,39.2849,1.60929,6730,0,21,8.66226,10.2908,1
51,40108032,70.7674,0.0138337,0.0513235,7.03506,33.9074,1.37776,6846,0,21,8.66226,10.2908,1
52,40894464,72.1078,0.0136609,0.0439917,5.25921,30.0474,1.7706,6979,0,21,8.66226,10.2908,1
53,41680896,73.4414,0.0161653,0.0635872,6.73416,30.227,1.35249,7096,0,21,8.66226,10.2908,1
54,42467328,74.7767,0.0143491,0.0347779,5.95425,26.2263,1.06412,7233,0,21,8.66226,10.2908,1
55,43253760,76.1076,0.0141342,0.0254392,4.87678,23.8512,1.53106,7370,0,21,8.66226,10.2908,1
56,44040192,77.4384,0.0138394,0.0234651,5.2233,21.7537,1.38526,7478,0,21,8.66226,10.2908,1
57,44826624,78.7697,0.0148033,0.0279872,4.27861,19.4963,1.42277,7594,0,23,8.66226,10.2908,1
58,45613056,80.124,0.0135192,0.00892176,3.36267,16.9676,1.81896,7712,0,23,8.66226,10.2908,1
59,46399488,81.4472,0.0129822,0.00130054,3.48228,14.4288,1.57086,7830,0,23,8.66226,10.2908,1
60,47185920,82.774,0.0128153,-0.0027005,2.85424,12.2152,1.71635,7962,0,23,8.66226,10.2908,1
61,47972352,84.1024,0.0122364,-0.0103222,2.37701,10.6637,1.48006,8079,0,23,8.66226,10.2908,1
62,48758784,85.4246,0.0125083,-0.00650593,2.30797,9.52694,1.51248,8190,0,23,8.66226,10.2908,1
63,49545216,86.7529,0.0131725,0.00195368,3.10237,8.78631,1.27094,8304,0,24,8.66226,10.2908,1
64,50331648,88.0797,0.0122596,-0.00944863,2.34833,8.36696,1.37075,8410,0,24,8.66226,10.2908,1
65,51118080,89.3997,0.0131784,-0.00350415,2.65795,8.23163,1.32215,8532,0,24,8.66226,10.2908,1
66,51904512,90.7262,0.0127136,-0.0109317,1.73592,7.37709,1.75038,8652,0,25,8.66226,10.2908,1
67,52690944,92.0411,0.0131141,-0.0160825,2.20526,7.24599,1.41186,8778,0,26,8.66226,10.2908,1
68,53477376,93.3616,0.0134107,-0.00955973,1.95523,6.79796,1.62053,8918,0,27,8.66226,10.2908,1
69,54263808,94.6809,0.0127692,-0.0201329,1.88143,6.33777,1.48293,9051,0,27,8.66226,10.2908,1
70,55050240,95.9964,0.0132363,-0.0160161,2.18203,6.75293,1.44822,9179,0,27,8.66226,10.2908,1
71,55836672,97.3108,0.0132993,-0.0127932,1.85861,5.38258,1.51622,9324,0,28,8.66226,10.2908,1
72,56623104,98.6257,0.0132236,-0.0117739,2.43563,5.50095,1.43843,9489,0,28,8.66226,10.2908,1
73,57409536,99.9456,0.0126604,-0.0159299,1.14553,3.20479,1.98544,9634,0,29,8.66226,10.2908,1
74,58195968,101.258,0.0135798,-0.0148969,1.63916,3.3819,1.49189,9779,0,29,8.66226,10.2908,1
75,58982400,102.574,0.0151165,-0.0100789,2.07372,4.96292,1.21384,9925,0,29,8.66226,10.2908,1
76,59768832,103.889,0.0136647,-0.0223028,2.16592,4.18721,1.19769,10085,0,29,8.66226,10.2908,1
77,60555264,105.195,0.0150264,-0.0152373,1.65262,3.64076,1.2931,10230,0,29,8.66226,10.2908,1
78,61341696,106.501,0.0139402,-0.0162718,2.28664,4.53474,1.11541,10363,0,29,8.66226,10.2908,1
79,62128128,107.801,0.0134804,-0.0228954,1.37374,3.11276,1.51284,10506,0,29,8.66226,10.2908,1
80,62914560,109.135,0.014205,-0.0205368,2.10685,4.32097,1.11191,10645,0,30,8.66226,10.2908,1
81,63700992,110.439,0.0143375,-0.0252942,1.31756,2.65644,1.53253,10781,0,30,8.66226,10.2908,1
82,64487424,111.743,0.014738,-0.0196466,2.07041,5.24207,1.18041,10921,0,30,8.66226,10.2908,1
83,65273856,113.047,0.0146258,-0.0268533,2.39419,6.5877,1.0298,11074,0,30,8.66226,10.2908,1
84,66060288,114.349,0.013985,-0.0264714,2.30781,4.36362,0.939112,11222,0,30,8.66226,10.2908,1
85,66846720,115.652,0.014814,-0.0256752,2.15647,7.27695,1.13041,11361,0,30,8.66226,10.2908,1
86,67633152,116.95,0.0149079,-0.0286709,1.61256,3.36255,1.24576,11510,0,30,8.66226,10.2908,1
87,68419584,118.251,0.0148569,-0.0333461,1.61133,3.5876,1.27854,11654,0,30,8.66226,10.2908,1
88,69206016,119.551,0.014474,-0.0330147,2.1914,4.59958,1.04611,11773,0,30,8.66226,10.2908,1
89,69992448,120.849,0.0142851,-0.0325903,2.80281,6.16805,0.891249,11910,0,30,8.66226,10.2908,1
90,70778880,122.145,0.0138168,-0.032123,1.98784,5.25563,1.09386,12033,0,30,8.66226,10.2908,1
91,71565312,123.446,0.01492,-0.0285887,2.01347,4.77349,1.03414,12166,0,30,8.66226,10.2908,1
92,72351744,124.747,0.0148477,-0.030467,2.16684,5.04525,1.16531,12278,0,30,8.66226,10.2908,1
93,73138176,126.052,0.014221,-0.0284819,1.49875,3.29632,1.25593,12415,0,30,8.66226,10.2908,1
94,73924608,127.358,0.0142425,-0.0267111,2.74668,5.21814,0.835645,12520,0,30,8.66226,10.2908,1
95,74711040,128.666,0.0141744,-0.0346228,1.36581,3.39546,1.40505,12643,0,30,8.66226,10.2908,1
96,75497472,129.973,0.0145307,-0.0324345,1.41515,2.4375,1.30598,12774,0,30,8.66226,10.2908,1
97,76283904,131.279,0.0149796,-0.0268165,1.48894,2.66109,1.23693,12901,0,30,8.66226,10.2908,1
98,77070336,132.588,0.0141705,-0.0343216,1.6999,3.04696,1.16641,13009,0,30,8.66226,10.2908,1
99,77856768,133.886,0.0147472,-0.0323481,1.9616,5.69684,1.05014,13145,0,30,8.66226,10.2908,1
100,78643200,135.188,0.0143664,-0.0335441,2.38428,4.76564,0.952634,13262,0,30,8.66226,10.2908,1
101,79429632,136.49,0.0145446,-0.033941,2.02224,4.27509,0.945087,13400,0,30,8.66226,10.2908,1
102,80216064,137.794,0.0150109,-0.0349147,1.72731,3.17405,1.08451,13532,0,30,8.66226,10.2908,1
103,81002496,139.097,0.0148234,-0.0283638,1.46631,3.38514,1.34072,13640,0,30,8.66226,10.2908,1
104,81788928,140.403,0.0144015,-0.0328413,1.69119,3.69539,1.19581,13756,0,30,8.66226,10.2908,1
105,82575360,141.705,0.0150321,-0.0319661,2.24498,5.14783,1.11979,13878,0,30,8.66226,10.2908,1
106,83361792,143.01,0.0152684,-0.0289076,1.86671,3.56034,1.05399,13999,0,30,8.66226,10.2908,1
107,84148224,144.315,0.0149759,-0.0299293,1.47245,3.26325,1.26363,14123,0,30,8.66226,10.2908,1
108,84934656,145.618,0.014791,-0.0291347,1.87245,4.24521,1.12898,14243,0,31,8.66226,10.2908,1
109,85721088,146.925,0.0147363,-0.0327677,1.48518,3.05988,1.17649,14359,0,31,8.66226,10.2908,1
110,86507520,148.227,0.0156732,-0.0313617,1.54115,2.71251,1.23444,14470,0,31,8.66226,10.2908,1
111,87293952,149.532,0.0145618,-0.0314186,3.02539,6.46936,0.763346,14572,0,31,8.66226,10.2908,1
112,88080384,150.839,0.0152586,-0.0323663,1.60873,2.61184,1.12461,14698,0,31,8.66226,10.2908,1
113,88866816,152.152,0.0153347,-0.03408,1.90887,6.17844,1.16968,14816,0,31,8.66226,10.2908,1
114,89653248,153.455,0.0152337,-0.0304254,1.64287,2.55177,1.10759,14943,0,31,8.66226,10.2908,1
115,90439680,154.752,0.0150574,-0.0343329,2.6077,6.33515,0.807129,15082,0,31,8.66226,10.2908,1
116,91226112,156.055,0.0155325,-0.0267872,1.61391,3.40904,1.14121,15219,0,31,8.66226,10.2908,1
117,92012544,157.358,0.015063,-0.0283064,2.52843,6.41104,0.87467,15341,0,31,8.66226,10.2908,1
118,92798976,158.686,0.0160549,-0.0144771,5.00846,8.80333,0.652247,15483,0,31,8.66226,10.2908,1
119,93585408,159.987,0.0156865,-0.0280232,1.57554,3.69105,1.29702,15653,0,31,8.66226,10.2908,1
120,94371840,161.289,0.0166476,-0.0164179,2.03232,4.02455,1.06466,15799,0,31,8.66226,10.2908,1
121,95158272,162.589,0.0161958,-0.0150011,1.83774,3.68622,1.15695,15945,0,31,8.66226,10.2908,1
122,95944704,163.884,0.0167329,-0.0152028,2.02877,3.43074,1.00873,16086,0,31,8.66226,10.2908,1
123,96731136,165.185,0.0164706,-0.0200323,2.92809,6.8258,0.886661,16249,0,31,8.66226,10.2908,1
124,97517568,166.48,0.0158164,-0.0182504,2.47709,6.53117,1.00226,16395,0,31,8.66226,10.2908,1
125,98304000,167.777,0.0161335,-0.0205596,1.85761,3.92608,1.03034,16528,0,31,8.66226,10.2908,1
126,99090432,169.078,0.0158723,-0.0189435,2.27937,7.13182,0.987771,16672,0,31,8.66226,10.2908,1
127,99876864,170.381,0.0153983,-0.0235651,1.94969,4.03418,1.07711,16807,0,31,8.66226,10.2908,1
128,100663296,171.679,0.0159021,-0.0249238,2.48712,6.82486,1.04532,16945,0,31,8.66226,10.2908,1
129,101449728,172.976,0.0159884,-0.019001,2.04734,3.53361,1.15668,17088,0,31,8.66226,10.2908,1
130,102236160,174.269,0.0160523,-0.0273177,2.46231,5.03924,1.0672,17239,0,31,8.66226,10.2908,1
131,103022592,175.572,0.0162324,-0.0192752,2.92313,8.15225,0.978857,17385,0,31,8.66226,10.2908,1
132,103809024,176.871,0.0160124,-0.0255091,2.64522,6.54894,0.916646,17527,0,31,8.66226,10.2908,1
133,104595456,178.169,0.0164249,-0.0255882,1.85737,3.93099,1.16978,17677,0,31,8.66226,10.2908,1
134,105381888,179.467,0.016384,-0.0167295,2.20971,4.06195,0.932322,17814,0,31,8.66226,10.2908,1
135,106168320,180.774,0.0165079,-0.0179665,1.6648,3.75508,1.28591,17938,0,31,8.66226,10.2908,1
136,106954752,182.07,0.0159116,-0.0219802,2.68998,8.23585,1.03511,18073,0,32,8.66226,10.2908,1
137,107741184,183.364,0.0161178,-0.0258711,2.01116,4.59407,1.06536,18199,0,32,8.66226,10.2908,1
138,108527616,184.669,0.0163912,-0.0221573,1.64108,3.7677,1.30503,18328,0,32,8.66226,10.2908,1
139,109314048,185.959,0.0157921,-0.0253333,3.26839,9.30125,0.987489,18441,0,32,8.66226,10.2908,1
140,110100480,187.252,0.0164028,-0.0212801,4.38166,8.04358,0.532089,18577,0,32,8.66226,10.2908,1
141,110886912,188.543,0.0157657,-0.0255149,4.52858,9.41294,0.632944,18679,0,32,8.66226,10.2908,1
142,111673344,189.836,0.0159457,-0.029375,3.01934,9.15498,0.986089,18801,0,32,8.66226,10.2908,1
143,112459776,191.126,0.0163943,-0.0152652,5.89823,12.735,0.503453,18938,0,32,8.66226,10.2908,1
144,113246208,192.419,0.0164285,-0.0334962,2.04645,3.9187,1.08546,19067,0,32,8.66226,10.2908,1
145,114032640,193.715,0.0162156,-0.0265626,2.02515,4.14196,1.14086,19168,0,32,8.66226,10.2908,1
146,114819072,195.013,0.0172382,-0.0292478,2.08141,3.98201,1.01629,19313,0,32,8.66226,10.2908,1
147,115605504,196.308,0.0160249,-0.0331352,2.64855,7.24147,0.964944,19423,0,32,8.66226,10.2908,1
148,116391936,197.601,0.0166533,-0.0348436,2.59769,4.87581,0.922014,19561,0,32,8.66226,10.2908,1
149,117178368,198.896,0.0169221,-0.0261827,3.70002,8.42254,0.754808,19690,0,32,8.66226,10.2908,1
150,117964800,200.188,0.0168122,-0.0272189,3.24003,6.99157,0.843826,19801,0,32,8.66226,10.2908,1
151,118751232,201.479,0.0173568,-0.0239454,3.84904,8.65359,0.795373,19910,0,32,8.66226,10.2908,1
152,119537664,202.774,0.0170403,-0.0320444,3.3911,8.17825,0.824862,20033,0,32,8.66226,10.2908,1
153,120324096,204.065,0.0177645,-0.0321834,1.90337,3.8005,1.16739,20164,0,32,8.66226,10.2908,1
154,121110528,205.359,0.0171216,-0.0382663,2.26823,5.26332,1.08598,20285,0,32,8.66226,10.2908,1
155,121896960,206.653,0.0173999,-0.0330254,2.56638,3.71858,0.927095,20401,0,32,8.66226,10.2908,1
156,122683392,207.95,0.0176915,-0.0328356,2.19956,4.64828,1.14458,20518,0,32,8.66226,10.2908,1
157,123469824,209.243,0.0180156,-0.0270914,3.50682,8.73483,0.905246,20625,0,32,8.66226,10.2908,1
158,124256256,210.538,0.0176322,-0.0341232,1.85016,4.24949,1.19608,20733,0,32,8.66226,10.2908,1
159,125042688,211.831,0.0174359,-0.0361725,1.61523,2.64643,1.2688,20851,0,32,8.66226,10.2908,1
160,125829120,213.127,0.0177907,-0.0382049,2.79995,6.59271,0.942002,20978,0,32,8.66226,10.2908,1
161,126615552,214.426,0.0179235,-0.0361104,2.58057,4.53811,0.852831,21105,0,32,8.66226,10.2908,1
162,127401984,215.721,0.0179115,-0.0376601,2.68568,4.70817,0.985196,21242,0,32,8.66226,10.2908,1
163,128188416,217.017,0.0189693,-0.0234904,4.73852,7.95777,0.665357,21374,0,32,8.66226,10.2908,1
164,128974848,218.311,0.0184936,-0.0251493,2.52398,5.14363,1.01929,21499,0,32,8.66226,10.2908,1
165,129761280,219.605,0.0184306,-0.0322211,2.05217,4.50248,1.26327,21645,0,32,8.66226,10.2908,1
166,130547712,220.899,0.0194689,-0.0265604,3.56809,8.55045,0.87574,21815,0,32,8.66226,10.2908,1
167,131334144,222.196,0.0194902,-0.0275903,1.67795,3.95002,1.38572,21960,0,32,8.66226,10.2908,1
168,132120576,223.49,0.0191653,-0.0265512,2.47431,8.91077,1.1961,22098,0,32,8.66226,10.2908,1
169,132907008,224.787,0.0193423,-0.0181082,2.6377,5.20254,0.948203,22248,0,32,8.66226,10.2908,1
170,133693440,226.112,0.0195979,-0.0211333,4.40102,8.95509,0.730534,22408,0,32,8.66226,10.2908,1
171,134479872,227.411,0.0188685,-0.0292574,3.04617,8.97288,1.004,22551,0,32,8.66226,10.2908,1
172,135266304,228.709,0.0193716,-0.0258356,3.06753,9.06944,0.884601,22689,0,32,8.66226,10.2908,1
173,136052736,230.005,0.0192452,-0.0376901,1.64866,4.55741,1.39858,22830,0,32,8.66226,10.2908,1
174,136839168,231.302,0.0188573,-0.0318115,2.15612,4.51382,1.11041,22965,0,32,8.66226,10.2908,1
175,137625600,232.602,0.0188367,-0.0332982,1.72069,4.09141,1.12858,23109,0,32,8.66226,10.2908,1
176,138412032,233.904,0.0194096,-0.0223466,2.86097,4.81698,0.843758,23244,0,32,8.66226,10.2908,1
177,139198464,235.2,0.0197103,-0.0378328,1.53181,2.77078,1.28207,23403,0,32,8.66226,10.2908,1
178,139984896,236.502,0.0202187,-0.023438,2.77882,5.28023,0.96495,23540,0,32,8.66226,10.2908,1
179,140771328,237.803,0.0199756,-0.0307809,1.89193,5.27315,1.21433,23691,0,32,8.66226,10.2908,1
180,141557760,239.104,0.0202238,-0.0270146,2.60418,5.61359,1.11128,23831,0,32,8.66226,10.2908,1
181,142344192,240.409,0.0200152,-0.0268739,2.30752,4.09483,1.06468,23972,0,32,8.66226,10.2908,1
182,143130624,241.711,0.0200583,-0.0228916,2.49905,5.01368,0.971021,24108,0,32,8.66226,10.2908,1
