chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
48,37748736,64.6026,0.0141198,0.140389,2.3501,6.0639,1.19754,6285,0,32,8.66226,10.2908,1
49,38535168,65.9522,0.0120857,0.130425,3.34389,7.45387,0.857151,6424,0,32,8.66226,10.2908,1
50,39321600,67.2957,0.00919393,0.114137,2.2855,4.98141,1.10839,6548,0,32,8.66226,10.2908,1
51,40108032,68.6373,0.00821916,0.103135,2.05337,4.90129,1.25184,6673,0,32,8.66226,10.2908,1
52,40894464,69.9749,0.00774597,0.118345,2.20391,4.55197,1.14123,6808,0,32,8.66226,10.2908,1
53,41680896,71.3184,0.0069753,0.104766,1.66914,3.83322,1.32472,6933,0,32,8.66226,10.2908,1
54,42467328,72.6606,0.0077736,0.108371,1.75878,3.78256,1.16128,7078,0,32,8.66226,10.2908,1
55,43253760,74.0019,0.00729717,0.0940865,2.00006,7.45789,1.29005,7223,0,32,8.66226,10.2908,1
56,44040192,75.3432,0.00737997,0.0914301,1.65173,4.15535,1.29654,7341,0,33,8.66226,10.2908,1
57,44826624,76.6867,0.00750781,0.0955226,1.79558,3.51018,1.22028,7466,0,33,8.66226,10.2908,1
58,45613056,78.0321,0.00849255,0.0915056,2.03249,6.90387,1.27311,7591,0,33,8.66226,10.2908,1
59,46399488,79.3779,0.00817612,0.0795759,1.95046,4.39006,1.1868,7717,0,33,8.66226,10.2908,1
60,47185920,80.7241,0.00962622,0.10267,1.53799,3.26045,1.37371,7857,0,33,8.66226,10.2908,1
61,47972352,82.0723,0.00975553,0.0981352,2.26772,6.64831,1.23545,7985,0,33,8.66226,10.2908,1
62,48758784,83.416,0.0106557,0.0880901,2.23174,8.43794,1.1254,8107,0,33,8.66226,10.2908,1
63,49545216,84.7651,0.0113364,0.0939015,2.46516,9.16396,0.999314,8228,0,33,8.66226,10.2908,1
64,50331648,86.1193,0.0098239,0.0885768,2.3159,6.81458,1.12658,8340,0,33,8.66226,10.2908,1
65,51118080,87.4748,0.0122238,0.107353,1.98714,3.83568,1.09128,8467,0,33,8.66226,10.2908,1
66,51904512,88.8378,0.011251,0.0895377,2.37851,6.68612,1.21454,8602,0,33,8.66226,10.2908,1
67,52690944,90.1883,0.0135376,0.11301,1.9708,4.77398,1.17296,8738,0,33,8.66226,10.2908,1
68,53477376,91.5324,0.0129983,0.0934655,2.58615,7.82037,1.18809,8875,0,33,8.66226,10.2908,1
69,54263808,92.881,0.0127523,0.1193,4.40172,9.21156,0.577009,9015,0,33,8.66226,10.2908,1
70,55050240,94.2345,0.01396,0.106811,2.93631,8.75025,0.873623,9139,0,33,8.66226,10.2908,1
71,55836672,95.5881,0.0133433,0.0841533,2.18934,3.97741,1.14199,9274,0,33,8.66226,10.2908,1
72,56623104,96.9439,0.0144929,0.107774,2.89184,9.17886,1.02315,9435,0,33,8.66226,10.2908,1
73,57409536,98.295,0.0169015,0.140569,2.47679,5.02122,1.00011,9580,0,33,8.66226,10.2908,1
74,58195968,99.6515,0.0170425,0.120015,2.21672,4.003,1.06485,9724,0,33,8.66226,10.2908,1
75,58982400,101.006,0.0161709,0.113426,2.78593,8.27905,1.02513,9860,0,33,8.66226,10.2908,1
76,59768832,102.364,0.0181236,0.125221,5.08287,11.0239,0.739421,10009,0,33,8.66226,10.2908,1
77,60555264,103.748,0.0165524,0.106653,4.52943,12.1722,0.941138,10139,0,33,8.66226,10.2908,1
78,61341696,105.102,0.0173866,0.107213,3.75519,12.2195,0.959611,10262,0,33,8.66226,10.2908,1
79,62128128,106.455,0.0184675,0.117652,4.58521,11.0185,0.765843,10398,0,33,8.66226,10.2908,1
80,62914560,107.813,0.019707,0.145994,9.02488,17.5233,0.479114,10530,0,33,8.66226,10.2908,1
81,63700992,109.194,0.0192288,0.115197,2.16877,3.89278,1.24932,10661,0,33,8.66226,10.2908,1
82,64487424,110.539,0.0195144,0.116677,2.77833,12.9522,1.22837,10791,0,33,8.66226,10.2908,1
83,65273856,111.89,0.0202453,0.117957,3.16246,12.1661,1.07445,10927,0,33,8.66226,10.2908,1
84,66060288,113.268,0.0204198,0.104336,3.24802,13.8421,1.01607,11072,0,33,8.66226,10.2908,1
85,66846720,114.629,0.0222107,0.14348,3.04949,7.55898,1.13195,11224,0,33,8.66226,10.2908,1
86,67633152,115.992,0.0222875,0.129961,2.96383,8.2552,1.01807,11371,0,33,8.66226,10.2908,1
87,68419584,117.361,0.0217491,0.124127,3.10512,10.3117,0.991252,11507,0,33,8.66226,10.2908,1
88,69206016,118.733,0.0226699,0.142004,5.31334,12.8682,0.736966,11632,0,33,8.66226,10.2908,1
89,69992448,120.127,0.0233596,0.153462,3.07157,8.69061,1.26863,11768,0,33,8.66226,10.2908,1
90,70778880,121.478,0.0225769,0.139488,4.31754,14.8012,1.06164,11894,0,33,8.66226,10.2908,1
91,71565312,122.828,0.0241649,0.166211,12.6629,24.9266,0.524334,12027,0,33,8.66226,10.2908,1
92,72351744,124.173,0.0237673,0.128715,3.32239,7.20822,0.998175,12152,0,33,8.66226,10.2908,1
93,73138176,125.523,0.0232109,0.128297,4.16818,11.5774,0.967611,12296,0,33,8.66226,10.2908,1
94,73924608,126.865,0.0247777,0.141801,8.95723,23.8654,0.628718,12399,0,33,8.66226,10.2908,1
95,74711040,128.204,0.0261384,0.137171,5.80475,22.7054,0.857329,12532,0,33,8.66226,10.2908,1
96,75497472,129.544,0.0260753,0.146847,5.24727,17.1264,0.977405,12669,0,33,8.66226,10.2908,1
97,76283904,130.886,0.0259608,0.163369,13.6703,27.8439,0.496395,12800,0,33,8.66226,10.2908,1
98,77070336,132.225,0.0260643,0.143165,8.46006,25.6037,0.69159,12917,0,33,8.66226,10.2908,1
99,77856768,133.571,0.02719,0.130775,5.07851,21.1398,0.9891,13057,0,33,8.66226,10.2908,1
100,78643200,134.907,0.0263161,0.133209,5.03541,19.0671,0.873417,13182,0,33,8.66226,10.2908,1
101,79429632,136.253,0.0274177,0.127668,6.42828,21.0687,0.902416,13326,0,33,8.66226,10.2908,1
102,80216064,137.596,0.0286221,0.13879,7.74449,19.4002,0.803333,13465,0,33,8.66226,10.2908,1
103,81002496,138.936,0.027918,0.123493,5.52303,20.9661,0.730944,13577,0,33,8.66226,10.2908,1
104,81788928,140.275,0.0279816,0.106954,3.70444,7.91367,1.01512,13698,0,33,8.66226,10.2908,1
105,82575360,141.618,0.0272437,0.14235,8.68387,20.2818,0.632849,13822,0,33,8.66226,10.2908,1
106,83361792,142.957,0.0264249,0.117544,9.3819,19.9135,0.617622,13943,0,33,8.66226,10.2908,1
107,84148224,144.295,0.0292773,0.127556,5.55321,18.1265,0.873264,14076,0,33,8.66226,10.2908,1
108,84934656,145.629,0.0294058,0.130159,5.89127,22.8949,1.07151,14207,0,33,8.66226,10.2908,1
109,85721088,146.988,0.0290847,0.107409,4.68626,7.9721,0.718186,14330,0,33,8.66226,10.2908,1
110,86507520,148.329,0.0282526,0.109772,5.15226,12.0491,0.7654,14443,0,33,8.66226,10.2908,1
111,87293952,149.661,0.0274025,0.120726,5.2344,11.2117,0.775043,14555,0,33,8.66226,10.2908,1
112,88080384,150.993,0.0293907,0.145603,10.4919,22.3899,0.561069,14689,0,33,8.66226,10.2908,1
113,88866816,152.351,0.0299511,0.125751,5.97866,31.2281,1.14819,14819,0,33,8.66226,10.2908,1
114,89653248,153.682,0.0296717,0.121418,10.4241,24.0948,0.963876,14957,0,33,8.66226,10.2908,1
115,90439680,155.008,0.0306553,0.114242,6.47784,22.2968,0.929066,15089,0,33,8.66226,10.2908,1
116,91226112,156.348,0.031306,0.102605,3.34448,15.4343,1.37959,15225,0,33,8.66226,10.2908,1
117,92012544,157.666,0.0298706,0.124417,5.3533,12.592,1.19878,15346,0,33,8.66226,10.2908,1
118,92798976,158.983,0.0307532,0.109233,5.63034,12.2329,0.972072,15478,0,33,8.66226,10.2908,1
119,93585408,160.305,0.031536,0.134664,11.8664,26.9964,0.577896,15642,0,33,8.66226,10.2908,1
120,94371840,161.631,0.0299438,0.131692,14.8263,32.8244,0.537437,15787,0,33,8.66226,10.2908,1
121,95158272,162.977,0.0305851,0.123891,5.78499,12.369,0.888317,15928,0,33,8.66226,10.2908,1
122,95944704,164.298,0.0304319,0.110841,5.95799,15.3442,1.0728,16061,0,33,8.66226,10.2908,1
123,96731136,165.622,0.0307462,0.132338,8.37162,29.2245,0.872134,16207,0,33,8.66226,10.2908,1
124,97517568,166.944,0.0291163,0.102798,6.60712,16.5308,0.966629,16338,0,33,8.66226,10.2908,1
125,98304000,168.261,0.0301027,0.132687,13.3853,27.6308,0.546213,16464,0,33,8.66226,10.2908,1
126,99090432,169.584,0.0298517,0.152652,13.5667,27.3071,0.63712,16594,0,33,8.66226,10.2908,1
127,99876864,170.903,0.0294037,0.117649,13.7297,26.9805,0.424789,16722,0,33,8.66226,10.2908,1
128,100663296,172.219,0.0281621,0.157807,17.6482,34.4424,0.549006,16856,0,33,8.66226,10.2908,1
129,101449728,173.537,0.0282919,0.115628,7.1636,16.9883,0.793366,16984,0,33,8.66226,10.2908,1
130,102236160,174.858,0.0296599,0.149357,12.6177,32.35,0.735991,17121,0,33,8.66226,10.2908,1
131,103022592,176.18,0.0293481,0.132197,11.1411,31.997,0.859287,17266,0,33,8.66226,10.2908,1
132,103809024,177.496,0.0292075,0.12532,9.28083,38.7099,0.932361,17412,0,33,8.66226,10.2908,1
133,104595456,178.812,0.0278407,0.102943,8.13588,27.5441,0.863857,17558,0,33,8.66226,10.2908,1
134,105381888,180.129,0.0277603,0.131785,12.1774,30.145,0.941652,17691,0,33,8.66226,10.2908,1
135,106168320,181.444,0.0274257,0.127938,15.2263,30.1136,0.600013,17814,0,33,8.66226,10.2908,1
136,106954752,182.761,0.0265943,0.175365,22.3346,53.3119,0.626597,17951,0,33,8.66226,10.2908,1
137,107741184,184.075,0.0270304,0.114074,10.9406,41.6193,0.915903,18077,0,33,8.66226,10.2908,1
138,108527616,185.388,0.0267308,0.0925845,7.49836,14.3036,0.672492,18208,0,33,8.66226,10.2908,1
139,109314048,186.7,0.0259788,0.106269,13.3133,28.3358,0.824924,18336,0,33,8.66226,10.2908,1
140,110100480,188.01,0.0261839,0.0929003,7.89139,16.9064,0.934873,18478,0,33,8.66226,10.2908,1
141,110886912,189.324,0.0253957,0.158956,19.4202,41.8797,0.687995,18578,0,33,8.66226,10.2908,1
142,111673344,190.645,0.0242111,0.109083,15.1044,32.8941,0.787805,18708,0,33,8.66226,10.2908,1
143,112459776,191.995,0.0253337,0.173614,21.5668,60.0403,0.72885,18848,0,33,8.66226,10.2908,1
144,113246208,193.312,0.0258802,0.120805,14.4394,29.505,0.729271,18976,0,33,8.66226,10.2908,1
145,114032640,194.637,0.0249215,0.16024,20.2338,37.0085,0.614885,19089,0,33,8.66226,10.2908,1
146,114819072,195.956,0.0257927,0.141498,14.0761,41.4629,0.748121,19235,0,33,8.66226,10.2908,1
147,115605504,197.303,0.0248904,0.0952014,8.83467,19.8791,0.879496,19352,0,33,8.66226,10.2908,1
148,116391936,198.626,0.0249958,0.163998,22.1114,57.3889,0.581235,19497,0,33,8.66226,10.2908,1
149,117178368,199.946,0.0246503,0.114674,13.1464,31.0189,0.72414,19627,0,33,8.66226,10.2908,1
150,117964800,201.261,0.0241467,0.132123,16.0919,39.1723,0.769333,19745,0,33,8.66226,10.2908,1
151,118751232,202.578,0.0233283,0.133881,14.6703,33.0494,0.779274,19858,0,33,8.66226,10.2908,1
152,119537664,203.899,0.0235209,0.0879049,6.13009,29.295,1.25221,19982,0,33,8.66226,10.2908,1
153,120324096,205.218,0.021946,0.135559,16.4532,46.0113,0.798684,20112,0,33,8.66226,10.2908,1
154,121110528,206.537,0.0228333,0.093611,8.04986,34.0733,1.33308,20242,0,33,8.66226,10.2908,1
155,121896960,207.852,0.0225544,0.126419,15.3022,33.6126,0.817839,20364,0,33,8.66226,10.2908,1
156,122683392,209.171,0.0209854,0.0779158,8.87455,15.6477,0.677829,20489,0,33,8.66226,10.2908,1
157,123469824,210.489,0.021441,0.0958094,8.9747,15.3099,0.566391,20601,0,33,8.66226,10.2908,1
158,124256256,211.802,0.0213686,0.105492,10.4789,34.6676,0.878088,20716,0,33,8.66226,10.2908,1
159,125042688,213.142,0.0212694,0.158298,19.5099,46.8625,0.764415,20845,0,33,8.66226,10.2908,1
160,125829120,214.457,0.0211505,0.0902744,8.28872,16.3212,0.891547,20985,0,33,8.66226,10.2908,1
161,126615552,215.777,0.020525,0.119415,10.661,34.763,1.02818,21121,0,33,8.66226,10.2908,1
162,127401984,217.092,0.0205397,0.201529,22.9738,46.227,0.7266,21255,0,33,8.66226,10.2908,1
163,128188416,218.403,0.0197932,0.126005,16.3585,29.2849,0.500842,21383,0,33,8.66226,10.2908,1
164,128974848,219.716,0.0190332,0.116933,11.9774,31.7657,0.882299,21506,0,33,8.66226,10.2908,1
165,129761280,221.034,0.0192235,0.104402,11.016,27.6379,0.938573,21642,0,33,8.66226,10.2908,1
166,130547712,222.349,0.0197707,0.093227,7.71767,17.3621,0.952357,21807,0,33,8.66226,10.2908,1
167,131334144,223.663,0.0186399,0.105587,10.0316,30.8291,0.833154,21951,0,33,8.66226,10.2908,1
168,132120576,225.01,0.0190763,0.175718,16.9567,44.6252,0.694633,22086,0,33,8.66226,10.2908,1
169,132907008,226.326,0.0181073,0.192468,20.9859,44.8082,0.509037,22227,0,33,8.66226,10.2908,1
170,133693440,227.644,0.0192298,0.210386,22.0922,58.9389,0.614737,22369,0,33,8.66226,10.2908,1
171,134479872,228.96,0.0183716,0.218753,24.0014,42.9585,0.577664,22500,0,33,8.66226,10.2908,1
172,135266304,230.274,0.0173926,0.187348,18.0979,39.5238,0.774964,22630,0,33,8.66226,10.2908,1
173,136052736,231.593,0.0183056,0.2264,19.0773,62.1114,0.808729,22757,0,33,8.66226,10.2908,1
174,136839168,232.911,0.0168132,0.200088,21.4913,42.5198,0.565305,22883,0,33,8.66226,10.2908,1
175,137625600,234.229,0.0177797,0.196739,18.58,43.9389,0.663337,23024,0,33,8.66226,10.2908,1
176,138412032,235.547,0.0178642,0.128413,8.43405,15.6311,0.769999,23145,0,33,8.66226,10.2908,1
177,139198464,236.862,0.017478,0.173158,18.8514,37.6883,0.492149,23288,0,33,8.66226,10.2908,1
178,139984896,238.18,0.0170882,0.208935,20.7912,40.9703,0.92687,23426,0,33,8.66226,10.2908,1
179,140771328,239.503,0.0185686,0.149611,10.7496,29.275,0.91072,23583,0,33,8.66226,10.2908,1
180,141557760,240.85,0.0180165,0.162661,14.5848,42.7909,1.01857,23717,0,33,8.66226,10.2908,1
181,142344192,242.164,0.0167999,0.128533,11.0722,33.1701,0.974319,23852,0,33,8.66226,10.2908,1
182,143130624,243.479,0.0163114,0.134688,13.8919,29.0162,0.80112,23984,0,33,8.66226,10.2908,1
183,143917056,244.793,0.0167223,0.137285,12.3177,40.818,0.903191,24112,0,33,8.66226,10.2908,1
184,144703488,246.135,0.0166645,0.187386,19.1594,42.4298,0.583946,24248,0,33,8.66226,10.2908,1
185,145489920,247.448,0.0164813,0.135208,8.67679,17.063,1.00257,24372,0,33,8.66226,10.2908,1
186,146276352,248.767,0.0151221,0.165477,17.0718,43.3765,0.789213,24509,0,33,8.66226,10.2908,1
187,147062784,250.084,0.016317,0.251575,24.2964,40.9346,0.586971,24638,0,33,8.66226,10.2908,1
188,147849216,251.426,0.0151902,0.15538,13.2656,41.6423,0.938993,24747,0,33,8.66226,10.2908,1
189,148635648,252.738,0.0154821,0.157656,14.2385,33.2285,0.825723,24874,0,33,8.66226,10.2908,1
190,149422080,254.051,0.015718,0.176257,17.7918,42.3209,0.686657,25016,0,33,8.66226,10.2908,1
191,150208512,255.359,0.0155378,0.11979,7.60728,17.1767,0.991432,25138,0,33,8.66226,10.2908,1
192,150994944,256.671,0.0147754,0.139945,14.2725,29.1793,0.828143,25254,0,33,8.66226,10.2908,1
193,151781376,257.983,0.0154445,0.230963,21.2108,58.8769,0.946148,25398,0,33,8.66226,10.2908,1
194,152567808,259.299,0.0146099,0.200796,22.1161,56.2564,0.53441,25513,0,33,8.66226,10.2908,1
195,153354240,260.612,0.0160756,0.260262,22.5912,56.2948,0.756866,25662,0,33,8.66226,10.2908,1
196,154140672,261.933,0.016131,0.169672,12.5654,43.7812,0.913028,25786,0,33,8.66226,10.2908,1
197,154927104,263.249,0.0157829,0.154313,15.2588,28.1721,0.633999,25903,0,33,8.66226,10.2908,1
198,155713536,264.565,0.0150241,0.186301,16.9934,31.1711,0.48352,26024,0,33,8.66226,10.2908,1
199,156499968,265.877,0.0160813,0.195246,12.7896,46.8773,0.79689,26148,0,33,8.66226,10.2908,1
200,157286400,267.199,0.0155511,0.175711,16.9921,32.245,0.572625,26276,0,33,8.66226,10.2908,1
201,158072832,268.516,0.0150677,0.146823,9.42369,17.9275,0.873267,26405,0,33,8.66226,10.2908,1
202,158859264,269.833,0.0159216,0.145378,8.70009,18.4757,0.877495,26534,0,33,8.66226,10.2908,1
203,159645696,271.15,0.0155864,0.237165,21.0734,42.7916,0.762274,26659,0,33,8.66226,10.2908,1
204,160432128,272.467,0.0160231,0.183948,11.0628,29.7995,1.03447,26769,0,33,8.66226,10.2908,1
205,161218560,273.783,0.0159448,0.185543,9.16929,19.9709,0.662709,26884,0,33,8.66226,10.2908,1
206,162004992,275.107,0.0164888,0.186211,10.7369,33.9355,0.833003,27014,0,33,8.66226,10.2908,1
207,162791424,276.424,0.0170803,0.239068,20.8281,43.0685,0.707651,27158,0,33,8.66226,10.2908,1
208,163577856,277.744,0.017144,0.201617,14.1039,32.2058,0.890855,27291,0,33,8.66226,10.2908,1
209,164364288,279.062,0.0173604,0.181623,11.477,26.8619,0.923173,27427,0,33,8.66226,10.2908,1
210,165150720,280.381,0.0169121,0.206425,13.9572,40.2756,0.86513,27554,0,33,8.66226,10.2908,1
211,165937152,281.701,0.0167255,0.374704,31.6935,58.2439,0.383697,27674,0,33,8.66226,10.2908,1
212,166723584,283.022,0.0161743,0.168487,10.977,33.0187,0.950834,27816,0,33,8.66226,10.2908,1
213,167510016,284.344,0.017526,0.203818,16.8108,28.0632,0.677383,27985,0,33,8.66226,10.2908,1
214,168296448,285.667,0.0176781,0.197338,13.9411,27.1706,0.773311,28121,0,33,8.66226,10.2908,1
215,169082880,286.984,0.0170693,0.209694,16.8766,41.6841,0.873761,28257,0,33,8.66226,10.2908,1
216,169869312,288.304,0.0168601,0.270786,21.0648,61.4931,0.874032,28391,0,33,8.66226,10.2908,1
217,170655744,289.622,0.0165185,0.272711,22.5062,48.3644,0.64018,28538,0,33,8.66226,10.2908,1
218,171442176,290.939,0.0165405,0.274348,22.1362,44.9172,0.509585,28667,0,33,8.66226,10.2908,1
219,172228608,292.26,0.0172547,0.231698,17.0838,29.036,0.588928,28794,0,33,8.66226,10.2908,1
220,173015040,293.577,0.016473,0.194365,12.5595,31.9675,0.549828,28927,0,33,8.66226,10.2908,1
221,173801472,294.893,0.016361,0.322082,25.129,57.1792,0.706165,29046,0,33,8.66226,10.2908,1
222,174587904,296.21,0.0169801,0.213469,15.1417,30.2903,0.718806,29194,0,33,8.66226,10.2908,1
223,175374336,297.525,0.0168082,0.331336,22.741,53.0586,0.674077,29310,0,33,8.66226,10.2908,1
224,176160768,298.839,0.0171357,0.294908,24.0571,56.7768,0.753004,29462,0,33,8.66226,10.2908,1
225,176947200,300.154,0.0167935,0.163061,9.98998,31.7612,1.09242,29596,0,33,8.66226,10.2908,1
226,177733632,301.468,0.0182336,0.190259,10.6122,26.4297,0.96,29754,0,33,8.66226,10.2908,1
227,178520064,302.783,0.0171071,0.20802,15.2296,29.7967,0.641319,29882,0,33,8.66226,10.2908,1
228,179306496,304.097,0.0177122,0.207793,11.3468,27.1591,0.839236,30019,0,33,8.66226,10.2908,1
229,180092928,305.415,0.0176901,0.201048,12.6814,38.1007,1.03973,30145,0,33,8.66226,10.2908,1
230,180879360,306.731,0.0179281,0.226346,15.186,27.3222,0.651474,30272,0,33,8.66226,10.2908,1
231,181665792,308.046,0.0176719,0.279198,22.5945,40.2341,0.538882,30417,0,33,8.66226,10.2908,1
232,182452224,309.357,0.0173275,0.191955,9.64408,18.3048,0.650856,30537,0,33,8.66226,10.2908,1
233,183238656,310.673,0.0182121,0.164607,11.3696,27.0229,0.737112,30679,0,33,8.66226,10.2908,1
234,184025088,311.988,0.0172645,0.207041,12.0208,29.0946,0.82587,30803,0,33,8.66226,10.2908,1
235,184811520,313.307,0.0180899,0.20594,12.5653,29.1949,0.815249,30913,0,33,8.66226,10.2908,1
236,185597952,314.628,0.0184592,0.269396,18.9635,44.6006,0.626375,31045,0,33,8.66226,10.2908,1
237,186384384,315.978,0.0188984,0.221918,10.6581,29.0222,1.04351,31182,0,33,8.66226,10.2908,1
238,187170816,317.298,0.0181912,0.21357,14.636,25.7744,0.557723,31304,0,33,8.66226,10.2908,1
239,187957248,318.619,0.0181902,0.380933,23.9728,54.2657,0.698749,31421,0,33,8.66226,10.2908,1
240,188743680,319.94,0.0186203,0.184099,6.81126,27.3667,1.17619,31565,0,33,8.66226,10.2908,1
241,189530112,321.288,0.0170997,0.209645,12.8704,27.7822,0.902245,31687,0,33,8.66226,10.2908,1
242,190316544,322.606,0.0194986,0.400044,27.3195,59.8195,0.516604,31838,0,33,8.66226,10.2908,1
243,191102976,323.927,0.0184966,0.338552,24.929,64.1591,0.506405,31957,0,33,8.66226,10.2908,1
244,191889408,325.245,0.0180409,0.293843,17.6983,42.9878,0.672217,32074,0,33,8.66226,10.2908,1
245,192675840,326.566,0.019106,0.311804,20.9163,50.1177,0.711763,32197,0,33,8.66226,10.2908,1
246,193462272,327.884,0.0181971,0.25387,13.6936,42.4336,0.81881,32315,0,33,8.66226,10.2908,1
247,194248704,329.203,0.0186315,0.339786,21.0246,56.8176,0.502659,32444,0,33,8.66226,10.2908,1
248,195035136,330.547,0.0190248,0.337623,25.3423,51.8936,0.635893,32579,0,33,8.66226,10.2908,1
249,195821568,331.865,0.019032,0.310578,20.4407,44.2304,0.676885,32711,0,33,8.66226,10.2908,1
