chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
55,43253760,73.1939,0.0032974,0.0239147,1.72346,3.00995,1.17399,7238,0,32,8.65396,10.2901,1
56,44040192,74.5405,0.00347461,0.0226628,1.42916,2.38937,1.32099,7358,0,32,8.65394,10.2901,1
57,44826624,75.8843,0.00355505,0.0190858,1.36065,2.34075,1.40177,7488,0,32,8.65395,10.2901,1
58,45613056,77.2359,0.00384755,0.0256191,1.5661,3.39276,1.21356,7617,0,32,8.65395,10.2901,1
59,46399488,78.5848,0.00368427,0.0189778,1.69067,3.51452,1.17176,7751,0,32,8.65395,10.2901,1
60,47185920,79.935,0.00363423,0.0205116,2.39149,4.86394,0.927191,7904,0,32,8.65395,10.2901,1
61,47972352,81.287,0.0040377,0.0129797,1.64267,4.37173,1.16736,8040,0,32,8.65395,10.2901,1
62,48758784,82.6368,0.00318845,0.011174,2.05324,4.28537,1.09157,8166,0,32,8.65395,10.2901,1
63,49545216,83.9902,0.00411355,0.0136877,1.84087,4.58333,1.13831,8282,0,32,8.65394,10.2901,1
64,50331648,85.3443,0.00381144,0.0176184,1.68955,2.82909,1.23912,8395,0,32,8.65394,10.2901,1
65,51118080,86.6971,0.0046932,0.0221626,1.45593,2.9705,1.3687,8525,0,32,8.65395,10.2901,1
66,51904512,88.0502,0.00437904,0.0101012,1.79554,3.57181,1.12084,8653,0,32,8.65395,10.2901,1
67,52690944,89.4046,0.00527799,0.0209718,2.73014,6.62514,1.07884,8786,0,32,8.65395,10.2901,1
68,53477376,90.7612,0.00446346,0.0402502,4.91565,8.26123,0.70681,8927,0,32,8.65396,10.2901,1
69,54263808,92.1183,0.00505522,0.0301171,3.94301,8.97264,0.723012,9056,0,32,8.65395,10.2901,1
70,55050240,93.474,0.0052139,0.0254964,1.94824,5.01273,1.20079,9177,0,32,8.65394,10.2901,1
71,55836672,94.8298,0.00644097,0.0383238,3.35771,6.7664,0.90181,9308,0,32,8.65395,10.2901,1
72,56623104,96.1821,0.00543449,0.0144684,1.68335,3.27862,1.24715,9459,0,32,8.65396,10.2901,1
73,57409536,97.5368,0.00616455,0.0227743,2.29009,6.40163,1.28355,9592,0,32,8.65395,10.2901,1
74,58195968,98.892,0.00648624,0.0322342,2.99577,7.29311,0.832847,9727,0,32,8.65395,10.2901,1
75,58982400,100.244,0.00654796,0.0254748,1.58861,3.18324,1.46481,9858,0,32,8.65395,10.2901,1
76,59768832,101.594,0.00602864,0.0172775,1.6936,3.14174,1.38265,10002,0,32,8.65396,10.2901,1
77,60555264,102.95,0.00607534,0.0335495,2.99008,6.37939,0.956621,10130,0,32,8.65395,10.2901,1
78,61341696,104.301,0.00667402,0.0500139,6.07367,12.3688,0.660644,10246,0,32,8.65394,10.2901,1
79,62128128,105.652,0.00631096,0.0344743,3.39238,10.1066,0.958821,10377,0,32,8.65395,10.2901,1
80,62914560,106.997,0.00740759,0.0473762,3.70452,11.4297,0.758821,10506,0,32,8.65395,10.2901,1
