chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
45,35389440,59.9445,0.0074414,0.0949666,3.8259,10.6724,0.853898,5902,0,32,8.65395,10.2901,1
46,36175872,61.2838,0.00711017,0.079248,2.72017,6.58695,0.985553,6033,0,32,8.65395,10.2901,1
47,36962304,62.6193,0.00458131,0.0705823,3.09953,7.23662,0.942548,6153,0,32,8.65394,10.2901,1
48,37748736,63.9581,0.00480481,0.0593528,2.87236,5.03456,0.807904,6284,0,32,8.65395,10.2901,1
49,38535168,65.3006,0.00432786,0.0626377,1.64847,3.0939,1.23497,6424,0,32,8.65395,10.2901,1
50,39321600,66.6431,0.00414566,0.0546552,2.21577,4.55968,1.08494,6550,0,32,8.65395,10.2901,1
51,40108032,67.988,0.00342948,0.0412055,1.63607,3.33555,1.27792,6675,0,32,8.65395,10.2901,1
52,40894464,69.3376,0.00377345,0.0342744,1.80511,3.09116,1.17003,6811,0,32,8.65395,10.2901,1
53,41680896,70.6826,0.00342426,0.0310067,2.53156,5.17783,0.936108,6939,0,32,8.65395,10.2901,1
54,42467328,72.0308,0.00341611,0.0286651,2.38747,5.19954,0.934794,7089,0,32,8.65396,10.2901,1
55,43253760,73.3802,0.0032974,0.0239147,1.72346,3.00995,1.17399,7238,0,32,8.65396,10.2901,1
56,44040192,74.7286,0.00347461,0.0226628,1.42916,2.38937,1.32099,7358,0,32,8.65394,10.2901,1
57,44826624,76.075,0.00355505,0.0190858,1.36065,2.34075,1.40177,7488,0,32,8.65395,10.2901,1
58,45613056,77.4287,0.00384755,0.0256191,1.5661,3.39276,1.21356,7617,0,32,8.65395,10.2901,1
59,46399488,78.7799,0.00368427,0.0189778,1.69067,3.51452,1.17176,7751,0,32,8.65395,10.2901,1
60,47185920,80.132,0.00363423,0.0205116,2.39149,4.86394,0.927191,7904,0,32,8.65395,10.2901,1
61,47972352,81.4856,0.0040377,0.0129797,1.64267,4.37173,1.16736,8040,0,32,8.65395,10.2901,1
62,48758784,82.8378,0.00318845,0.011174,2.05324,4.28537,1.09157,8166,0,32,8.65395,10.2901,1
63,49545216,84.1935,0.00411355,0.0136877,1.84087,4.58333,1.13831,8282,0,32,8.65394,10.2901,1
64,50331648,85.5508,0.00381144,0.0176184,1.68955,2.82909,1.23912,8395,0,32,8.65394,10.2901,1
65,51118080,86.9067,0.0046932,0.0221626,1.45593,2.9705,1.3687,8525,0,32,8.65395,10.2901,1
66,51904512,88.2628,0.00437904,0.0101012,1.79554,3.57181,1.12084,8653,0,32,8.65395,10.2901,1
67,52690944,89.62,0.00527799,0.0209718,2.73014,6.62514,1.07884,8786,0,32,8.65395,10.2901,1
68,53477376,90.9806,0.00446346,0.0402502,4.91565,8.26123,0.70681,8927,0,32,8.65396,10.2901,1
69,54263808,92.3409,0.00505522,0.0301171,3.94301,8.97264,0.723012,9056,0,32,8.65395,10.2901,1
70,55050240,93.7002,0.0052139,0.0254964,1.94824,5.01273,1.20079,9177,0,32,8.65394,10.2901,1
71,55836672,95.0593,0.00644097,0.0383238,3.35771,6.7664,0.90181,9308,0,32,8.65395,10.2901,1
72,56623104,96.4149,0.00543449,0.0144684,1.68335,3.27862,1.24715,9459,0,32,8.65396,10.2901,1
73,57409536,97.7718,0.00616455,0.0227743,2.29009,6.40163,1.28355,9592,0,32,8.65395,10.2901,1
74,58195968,99.1281,0.00648624,0.0322342,2.99577,7.29311,0.832847,9727,0,32,8.65395,10.2901,1
75,58982400,100.482,0.00654796,0.0254748,1.58861,3.18324,1.46481,9858,0,32,8.65395,10.2901,1
76,59768832,101.834,0.00602864,0.0172775,1.6936,3.14174,1.38265,10002,0,32,8.65396,10.2901,1
77,60555264,103.193,0.00607534,0.0335495,2.99008,6.37939,0.956621,10130,0,32,8.65395,10.2901,1
78,61341696,104.546,0.00667402,0.0500139,6.07367,12.3688,0.660644,10246,0,32,8.65394,10.2901,1
79,62128128,105.898,0.00631096,0.0344743,3.39238,10.1066,0.958821,10377,0,32,8.65395,10.2901,1
80,62914560,107.246,0.00740759,0.0473762,3.70452,11.4297,0.758821,10506,0,32,8.65395,10.2901,1
81,63700992,108.593,0.00768081,0.0365834,2.54073,7.6515,1.1044,10625,0,32,8.65394,10.2901,1
82,64487424,109.94,0.00761776,0.0361355,1.74531,3.44109,1.27358,10749,0,32,8.65394,10.2901,1
83,65273856,111.288,0.00684553,0.0299008,2.04985,3.49646,1.1365,10884,0,32,8.65395,10.2901,1
84,66060288,112.635,0.00857366,0.0402709,2.08602,4.27402,1.1958,11017,0,32,8.65395,10.2901,1
85,66846720,113.976,0.00898126,0.0426909,2.44814,4.87486,0.973618,11162,0,32,8.65396,10.2901,1
86,67633152,115.319,0.00868638,0.04367,2.42046,5.54649,1.10426,11305,0,32,8.65395,10.2901,1
87,68419584,116.663,0.00841313,0.0417611,3.31109,8.4093,1.01706,11440,0,32,8.65395,10.2901,1
88,69206016,117.996,0.00863723,0.0484122,2.13109,4.29389,1.10241,11557,0,32,8.65394,10.2901,1
89,69992448,119.334,0.00858762,0.0429517,2.03334,3.90819,1.2342,11691,0,32,8.65395,10.2901,1
90,70778880,120.672,0.00893384,0.0585922,2.57236,10.3817,1.1923,11818,0,32,8.65394,10.2901,1
91,71565312,122.014,0.00915225,0.0614589,2.84646,5.78741,0.846104,11948,0,32,8.65395,10.2901,1
92,72351744,123.348,0.00922788,0.0436003,2.26718,5.4546,1.17254,12065,0,32,8.65394,10.2901,1
93,73138176,124.682,0.00834218,0.0446572,3.95128,9.81212,0.817639,12203,0,32,8.65395,10.2901,1
94,73924608,126.019,0.00944163,0.0640162,5.20094,9.25099,0.620669,12308,0,32,8.65394,10.2901,1
95,74711040,127.348,0.00922783,0.0453903,3.68276,8.68075,0.866875,12441,0,32,8.65395,10.2901,1
96,75497472,128.686,0.0105005,0.0539987,2.44135,6.059,1.13982,12578,0,32,8.65395,10.2901,1
97,76283904,130.017,0.00954491,0.0520784,3.21517,7.32906,0.884093,12709,0,32,8.65394,10.2901,1
98,77070336,131.354,0.0101266,0.0604805,4.38457,11.3618,0.938783,12827,0,32,8.65395,10.2901,1
99,77856768,132.683,0.0095196,0.0535926,2.42175,5.95493,1.20529,12968,0,32,8.65395,10.2901,1
100,78643200,134.03,0.00947395,0.0607894,2.39127,5.81998,1.2061,13100,0,32,8.65395,10.2901,1
101,79429632,135.359,0.0104848,0.0642476,3.83739,10.9676,0.945295,13248,0,32,8.65396,10.2901,1
