Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.3,15514547,48,323219.7,323148.0,320252,326651,1192.0,"void cutlass__5x_cudnn::Kernel<cutlass__5x_cudnn::conv::kernel::ImplicitGemmConvolution<cutlass__5x_cudnn::conv::threadblock::ImplicitGemmMultistage<cutlass__5x_cudnn::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass__5x_cudnn::conv::threadblock::Conv2dWgradOutputGradientTileAccessIteratorOptimized<cutlass__5x_cudnn::MatrixShape<(int)64, (int)64>, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::transform::PitchLinearWarpRakedThreadMap<cutlass__5x_cudnn::PitchLinearShape<(int)64, (int)64>, (int)128, cutlass__5x_cudnn::PitchLinearShape<(int)8, (int)4>, (int)8>, cutlass__5x_cudnn::AlignedArray<cutlass__5x_cudnn::bfloat16_t, (int)8, (int)16>>, cutlass__5x_cudnn::transform::threadblock::RegularTileAccessIterator<cutlass__5x_cudnn::MatrixShape<(int)64, (int)64>, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::ColumnMajorTensorOpMultiplicandCongruous<(int)16, (int)64>, (int)1, cutlass__5x_cudnn::transform::PitchLinearWarpRakedThreadMap<cutlass__5x_cudnn::PitchLinearShape<(int)64, (int)64>, (int)128, cutlass__5x_cudnn::PitchLinearShape<(int)8, (int)4>, (int)8>, (int)16>, (cutlass__5x_cudnn::arch::CacheOperation::Kind)0, cutlass__5x_cudnn::conv::threadblock::Conv2dWgradActivationTileAccessIteratorOptimized<cutlass__5x_cudnn::MatrixShape<(int)64, (int)64>, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::transform::PitchLinearWarpRakedThreadMap<cutlass__5x_cudnn::PitchLinearShape<(int)64, (int)64>, (int)128, cutlass__5x_cudnn::PitchLinearShape<(int)8, (int)4>, (int)8>, cutlass__5x_cudnn::AlignedArray<cutlass__5x_cudnn::bfloat16_t, (int)8, (int)16>>, cutlass__5x_cudnn::transform::threadblock::RegularTileAccessIterator<cutlass__5x_cudnn::MatrixShape<(int)64, (int)64>, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::RowMajorTensorOpMultiplicandCongruous<(int)16, (int)64>, (int)0, cutlass__5x_cudnn::transform::PitchLinearWarpRakedThreadMap<cutlass__5x_cudnn::PitchLinearShape<(int)64, (int)64>, (int)128, cutlass__5x_cudnn::PitchLinearShape<(int)8, (int)4>, (int)8>, (int)16>, (cutlass__5x_cudnn::arch::CacheOperation::Kind)0, cutlass__5x_cudnn::gemm::threadblock::MmaPolicy<cutlass__5x_cudnn::gemm::warp::MmaTensorOp<cutlass__5x_cudnn::gemm::GemmShape<(int)32, (int)32, (int)64>, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::ColumnMajorTensorOpMultiplicandCongruous<(int)16, (int)64>, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::RowMajorTensorOpMultiplicandCongruous<(int)16, (int)64>, float, cutlass__5x_cudnn::layout::RowMajor, cutlass__5x_cudnn::gemm::warp::MmaTensorOpPolicy<cutlass__5x_cudnn::arch::Mma<cutlass__5x_cudnn::gemm::GemmShape<(int)16, (int)8, (int)16>, (int)32, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::RowMajor, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::ColumnMajor, float, cutlass__5x_cudnn::layout::RowMajor, cutlass__5x_cudnn::arch::OpMultiplyAdd>, cutlass__5x_cudnn::MatrixShape<(int)1, (int)1>>, (int)1, (bool)0, bool>, cutlass__5x_cudnn::MatrixShape<(int)0, (int)0>, cutlass__5x_cudnn::MatrixShape<(int)0, (int)0>, (int)1>, (int)5, bool>, cutlass__5x_cudnn::epilogue::threadblock::Epilogue<cutlass__5x_cudnn::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass__5x_cudnn::gemm::warp::MmaTensorOp<cutlass__5x_cudnn::gemm::GemmShape<(int)32, (int)32, (int)64>, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::ColumnMajorTensorOpMultiplicandCongruous<(int)16, (int)64>, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::RowMajorTensorOpMultiplicandCongruous<(int)16, (int)64>, float, cutlass__5x_cudnn::layout::RowMajor, cutlass__5x_cudnn::gemm::warp::MmaTensorOpPolicy<cutlass__5x_cudnn::arch::Mma<cutlass__5x_cudnn::gemm::GemmShape<(int)16, (int)8, (int)16>, (int)32, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::RowMajor, cutlass__5x_cudnn::bfloat16_t, cutlass__5x_cudnn::layout::ColumnMajor, float, cutlass__5x_cudnn::layout::RowMajor, cutlass__5x_cudnn::arch::OpMultiplyAdd>, cutlass__5x_cudnn::MatrixShape<(int)1, (int)1>>, (int)1, (bool)0, bool>, (int)1, cutlass__5x_cudnn::epilogue::threadblock::PredicatedTileIterator<cutlass__5x_cudnn::epilogue::threadblock::OutputTileOptimalThreadMap<cutlass__5x_cudnn::epilogue::threadblock::OutputTileShape<(int)64, (int)8, (int)2, (int)1, (int)1>, cutlass__5x_cudnn::epilogue::threadblock::OutputTileShape<(int)1, (int)4, (int)1, (int)1, (int)4>, (int)128, (int)4, (int)32>, float, (bool)0, cutlass__5x_cudnn::layout::NoPermute, (bool)0>, cutlass__5x_cudnn::epilogue::warp::FragmentIteratorTensorOp<cutlass__5x_cudnn::gemm::GemmShape<(int)32, (int)32, (int)64>, cutlass__5x_cudnn::gemm::GemmShape<(int)16, (int)8, (int)16>, float, cutlass__5x_cudnn::Array<float, (int)4, (bool)1>, cutlass__5x_cudnn::layout::RowMajor>, cutlass__5x_cudnn::epilogue::warp::TileIteratorTensorOp<cutlass__5x_cudnn::gemm::GemmShape<(int)32, (int)32, (int)64>, cutlass__5x_cudnn::gemm::GemmShape<(int)16, (int)8, (int)16>, float, cutlass__5x_cudnn::layout::RowMajor>, cutlass__5x_cudnn::epilogue::threadblock::SharedLoadIterator<cutlass__5x_cudnn::epilogue::threadblock::OutputTileOptimalThreadMap<cutlass__5x_cudnn::epilogue::threadblock::OutputTileShape<(int)64, (int)8, (int)2, (int)1, (int)1>, cutlass__5x_cudnn::epilogue::threadblock::OutputTileShape<(int)1, (int)4, (int)1, (int)1, (int)4>, (int)128, (int)4, (int)32>::CompactedThreadMap, float, (int)16>, cutlass__5x_cudnn::epilogue::thread::LinearCombination<float, (int)4, float, float, (cutlass__5x_cudnn::epilogue::thread::ScaleType::Kind)0, (cutlass__5x_cudnn::FloatRoundStyle)2>, cutlass__5x_cudnn::MatrixShape<(int)0, (int)8>, (int)2, (int)1>, cutlass__5x_cudnn::gemm::threadblock::GemmIdentityThreadblockSwizzle<(int)4>, (cutlass__5x_cudnn::conv::Operator)2, cutlass__5x_cudnn::conv::Conv2dProblemSize, (cutlass__5x_cudnn::conv::GroupMode)0>>(T1::Params)"
1.3,15393299,81,190040.7,210205.0,156606,212829,25617.3,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params)
1.2,15210237,1452,10475.4,928.0,608,196765,38887.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.1,13880233,336,41310.2,2784.0,1824,187389,65829.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::BFloat16, (int)4, (int)8>>(T3)"
1.1,13203820,3057,4319.2,1600.0,672,171358,20642.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1.0,12814171,81,158199.6,176990.0,129054,179070,23531.3,void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_128x128_tn_align1>(T1::Params)
0.9,10878001,48,226625.0,226653.0,220733,230589,1978.0,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816dgrad_optimized_bf16_128x128_32x3_nhwc_unity_stride_align8>(T1::Params)
0.8,9850784,48,205224.7,205421.5,201277,208733,1703.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.7,8739761,192,45519.6,3744.0,3424,172766,72645.9,void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_128x128_nn_align1>(T1::Params)
0.6,7539966,224,33660.6,33151.0,32800,37312,1325.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(unsigned char) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
